
# From file: Reminder/etc/config.xml
"Order Reminders","Rappel de "
"Reminder One","Premier rappel"
"Reminder Two","Second rappel"
"Reminder Three","Troisième rappel"

# From file: Reminder/etc/system.xml
"Kinento","Kinento"
"Time criteria","Time criteria"
"On-account customers:","On-account customers:"
"Prepaid customers:","Prepaid customers:"
"General settings","Réglages généraux"
"Include orders using payments:","Inclure les commandes utilisant le paiment:"
"Include orders with status","Inclure les commandes avec le statut"
"Email settings","Réglage d'email"
"Attachments for on-account customers","Attachments for on-account customers"
"Attachments for prepaid customers","Attachments for prepaid customers"
"First notification after","First notification after"
"days","jours"
"Second notification after","Second notification after"
"Third, fourth, fifth, etc.","Third, fourth, fifth, etc."
"days after previous notification","days after previous notification"
"Cancel orders automatically after","Cancel orders automatically after"
"Include orders starting from","Include orders starting from"
"input as a UNIX timestamp (see unixtimestamp.com)","input as a UNIX timestamp (see unixtimestamp.com)"
"On-account customers are in the following group(s)","On-account customers are in the following group(s)"
"Prepaid customers are set to all other groups","Prepaid customers are set to all other groups"
"Send a copy to the following email address","Send a copy to the following email address"
"Leave blank to disable this feature","Leave blank to disable this feature"
"First reminder template","First reminder template"
"Create new templates using System-Transactional emails","Create new templates using System-Transactional emails"
"Second reminder template","Second reminder template"
"Third reminder template","Third reminder template"
"Special text for on-account customers","Special text for on-account customers"
"input in HTML","input in HTML"
"Special text for prepaid customers","Special text for prepaid customers"
"Orders with these payments are in the 'normal' group","Orders with these payments are in the 'normal' group"
"Other payments are considered 'alternative'","Other payments are considered 'alternative'"
"Special text for normal payments","Special text for normal payments"
"Special text for 'alternative' payments","Special text for 'alternative' payments"

# From file: Reminder/Block/View/Main/Grid.php
"Order id","Numéros de commande"
"Store","Magasin"
"Purchase date","Date d'achat"
"Shipping name","Nom de livraison"
"Billing name","Nom de facturation"
"Amount","Montant"
"Order status","Satut de la commande"
"Order type","Type de commande"
"Reminders sent","Rappel envoyé"
"Disable notifications","Désactivé les notifications"
"Payment method","Moyen de paiement"
"Manual reminders","Rappels manuelle"
"Force send reminder(s) now","Forcer l'envoie du/des rappels maintenant"
"Enable selected","Activer les éléments sélectionés"
"Disable selected","Désactiver les éléments sélectionés"

# From file: Reminder/Block/View/Main/Widget/Column/Renderer/Grouptype.php
"On account","On account"
"Prepaid","Prépayé"

# From file: Reminder/Block/View/Main/Widget/Column/Renderer/Manual.php
"Force send reminder now","Forcer l'envoie du rappel maintenant"

# From file: Reminder/Block/View/Main/Widget/Column/Renderer/Payment.php
"Enabled","Activer"
"Disabled","Désactivé"

# From file: Reminder/Block/View/Main/Widget/Column/Renderer/Reminderssent.php
"add","Ajouter"
"remove","Supprimer"
"reset to","Réinitialisé"

# From file: Reminder/Block/View/Main/Widget/Column/Renderer/Status.php
"Enable notifications","Activer les notifications"

# From file: Reminder/Block/View/Main.php
"Pending orders overview","Voir les commandes en attentes"
"Send reminders now","Envoyer des rappels maintenant"

# From file: Reminder/controllers/ViewController.php
"Status changed.","Statut changé"
"1 reminder sent manually","1 rappel envoyé manuellement"
"Please select one or more orders","Veuillez sélectionner au moins une commande"

# From file: Reminder/Model/Attach.php
